"","Channel","Leadcount","Phonecount","Meetingcount","Acquiredcount"
"1","Email",14370,60360,20,802
"2","Organic",131994,375619,155,7946
"3","Paid Bing",1217,3916,0,99
"4","Paid Google",5030,16530,3,455
"5","Paid Social",34492,102800,16,2303
"6","Unknown",27403,187856,318,736
"7","0",0,0,0,5719
