"","Channel","Leadcount","Phonecount","Meetingcount","Acquiredcount","Cost","NPV","TolNPV","ROI","ConversionRate"
"1","Email",14370,60360,20,802,753300,8000,6416000,7.5171910261516,5.58107167710508
"2","Organic",131994,375619,155,7946,3802690,7500,59595000,14.6718007515732,6.01997060472446
"3","Paid Bing",1217,3916,0,99,0,7000,693000,0,8.13475760065735
"4","Paid Google",5030,16530,3,455,920700,7000,3185000,2.45932442706636,9.04572564612326
"5","Paid Social",34492,102800,16,2303,6206600,7000,16121000,1.5973963200464,6.67691058796243
"6","Unknown",27403,187856,318,736,1973960,0,0,-1,2.68583731708207
"7","0",0,0,0,5719,0,0,0,0,0
