"","Channel","Leadcount","Phonecount","Meetingcount","Acquiredcount","Cost","NPV","TolNPV","ROI","ConversionRate"
"1","Email",14370,60060,41,864,756600,8000,6912000,8.13560666137986,6.0125260960334
"2","Organic",131994,409345,192,8300,4151050,7500,62250000,13.9962057792607,6.28816461354304
"3","Paid Bing",1217,3237,4,67,130930,7000,469000,2.58206675322692,5.50534100246508
"4","Paid Google",5030,13576,3,306,891160,7000,2142000,1.4036087795682,6.08349900596421
"5","Paid Social",34492,85518,15,1530,6033480,7000,10710000,0.775094970067026,4.4358112025977
"6","Unknown",27403,175345,257,1274,1830550,0,0,-1,4.6491260081013
"7","0",0,0,0,5719,0,0,0,0,0
